,year,age,prestg10,childs
year,1.0,0.12059782477275371,0.049181529209674925,-0.04905977624809484
age,0.12059782477275371,1.0,0.0961745682422678,0.40997609565266935
prestg10,0.049181529209674925,0.0961745682422678,1.0,-0.03609224493150107
childs,-0.04905977624809484,0.40997609565266935,-0.03609224493150107,1.0
