,year,age,prestg10,childs
year,1.0,0.1254154165419435,0.051040994319097074,-0.02761286407504195
age,0.1254154165419435,1.0,0.10904863049660023,0.4474251666103558
prestg10,0.051040994319097074,0.10904863049660023,1.0,-0.01602712890510412
childs,-0.02761286407504195,0.4474251666103558,-0.01602712890510412,1.0
